Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-13,,,,,,0.57,0
2016-01-14,40.977090276449566,45.37661982248183,40.490027723298645,43.564109802246094,16704900.0,0.0,0
2016-01-15,42.32648901592145,45.8397246724391,42.32648901592145,45.78383255004883,27008800.0,0.0,0
2016-01-19,45.935535963535536,46.09522903556192,43.3006109357223,43.90744400024414,13644500.0,0.0,0
2016-01-20,43.2846445275142,46.254925531008524,42.877430057305574,45.63212585449219,11993100.0,0.0,0
2016-01-21,45.74390457946573,46.92562838389601,45.448471343939254,46.59825897216797,12097000.0,0.0,0
2016-01-22,47.18911958051592,47.45261359522808,46.16708883569951,46.97353744506836,10383800.0,0.0,0
2016-01-25,47.13322071170877,47.75602327275719,46.4545290885706,46.82980728149414,9681900.0,0.0,0
2016-01-26,47.11727187667023,47.324873837180974,45.68003995254336,46.51842498779297,7421100.0,0.0,0
2016-01-27,46.598263333941816,47.053386630752996,45.07320036398511,45.60018539428711,9077700.0,0.0,0
2016-01-28,45.69599498773396,46.09522611959873,43.73976183241825,44.5941162109375,10521100.0,0.0,0
2016-01-29,42.653852103351895,44.16294832042903,42.653852103351895,43.83557891845703,17768700.0,0.0,0
2016-02-01,43.24472543457427,43.81961936348097,41.92726119612724,43.42837142944336,11693300.0,0.0,0
2016-02-02,42.82952100962504,43.739767623448266,42.57401329507439,43.07704544067383,7918300.0,0.0,0
2016-02-03,43.54014874748393,45.6560750852933,43.156887204561826,45.38459777832031,16435700.0,0.0,0
2016-02-04,45.30475410633537,45.759877392390855,44.2028752341469,45.32072067260742,10351200.0,0.0,0
2016-02-05,44.91351006805055,44.98537180599512,42.01509069880917,42.41432189941406,13263200.0,0.0,0
2016-02-08,41.98314956316141,43.19680958938968,41.47213112814343,42.23067092895508,9369400.0,0.0,0
2016-02-09,41.76756746159044,43.069058925115876,41.56795187009231,42.70176696777344,7655800.0,0.0,0
2016-02-10,43.204794642751956,43.667901183266984,41.95919238410856,42.094932556152344,9302800.0,0.0,0
2016-02-11,41.75957193418372,42.41431068641214,41.376310448432314,41.66375732421875,8551100.0,0.0,0
2016-02-12,41.943217307102,42.294542615391016,41.20064723662577,41.9831428527832,9976200.0,0.0,0
2016-02-16,42.6698311402024,43.01317022859294,42.1029235462152,42.72572326660156,8313000.0,0.0,0
2016-02-17,43.38843270838008,44.03518813679461,42.59795385142898,43.92340087890625,10005600.0,0.0,0
2016-02-18,44.33861458599282,44.33861458599282,43.25270527166425,43.556121826171875,6555000.0,0.0,0
2016-02-19,43.51619855059775,43.91542972996103,43.10099775855288,43.3485221862793,8532500.0,0.0,0
2016-02-22,43.34852387866391,44.17093916557498,42.90937017339759,44.138999938964844,9381800.0,0.0,0
2016-02-23,44.47436095295154,44.9614235553698,43.91543660516186,43.97132873535156,8629700.0,0.0,0
2016-02-24,43.643948795273985,43.97131821343126,43.12494708668448,43.82759475708008,6633800.0,0.0,0
2016-02-25,44.051166454359034,44.897537643165336,43.46030602016147,44.87358474731445,7076300.0,0.0,0
2016-02-26,44.92149277182215,45.344679910205734,44.55420080302246,44.71389389038086,5298000.0,0.0,0
2016-02-29,44.61009185735529,44.71389281853386,43.49224636442728,43.60403060913086,8395100.0,0.0,0
